grain,level,horizon_days,quantile,feature,importance
Pmax,campaign_type,60,0.9,spend_lag_14,-145.2751
Pmax,campaign_type,60,0.9,spend_rolling_mean_7d,-1069.1468
Pmax,campaign_type,60,0.9,spend_rolling_mean_14d,-456.5581
Pmax,campaign_type,60,0.9,spend_rolling_mean_30d,154.1498
Pmax,campaign_type,60,0.9,revenue_rolling_mean_7d,-105.79
Pmax,campaign_type,60,0.9,revenue_rolling_mean_14d,-116.8732
Pmax,campaign_type,60,0.9,revenue_rolling_mean_30d,10.6366
Pmax,campaign_type,60,0.9,spend_share_of_total,131.1663
Pmax,campaign_type,60,0.9,days_since_start,0.0
Pmax,campaign_type,60,0.9,month_sin,0.0
Pmax,campaign_type,60,0.9,month_cos,0.0
Pmax,campaign_type,60,0.9,dayofmonth_sin,215.5906
Pmax,campaign_type,60,0.9,dayofmonth_cos,140.8741
Pmax,campaign_type,60,0.9,is_weekend,8.258
Pmax,campaign_type,60,0.9,target_spend_60d,6250.8716
Pmax,campaign_type,60,0.9,dow_Monday,0.0
Pmax,campaign_type,60,0.9,dow_Saturday,0.0
Pmax,campaign_type,60,0.9,dow_Sunday,-4.0485
Pmax,campaign_type,60,0.9,dow_Thursday,0.0467
Pmax,campaign_type,60,0.9,dow_Tuesday,-0.3573
Pmax,campaign_type,60,0.9,dow_Wednesday,0.5207
Pmax,campaign_type,90,0.1,spend,-390.5529
Pmax,campaign_type,90,0.1,spend_lag_1,31.3733
Pmax,campaign_type,90,0.1,spend_lag_7,78.9169
Pmax,campaign_type,90,0.1,spend_lag_14,-138.6766
Pmax,campaign_type,90,0.1,spend_rolling_mean_7d,67.7298
Pmax,campaign_type,90,0.1,spend_rolling_mean_14d,-39.7239
Pmax,campaign_type,90,0.1,spend_rolling_mean_30d,4.8061
Pmax,campaign_type,90,0.1,revenue_rolling_mean_7d,-99.8574
Pmax,campaign_type,90,0.1,revenue_rolling_mean_14d,48.6798
Pmax,campaign_type,90,0.1,revenue_rolling_mean_30d,-162.395
Pmax,campaign_type,90,0.1,spend_share_of_total,-40.5491
Pmax,campaign_type,90,0.1,days_since_start,0.0
Pmax,campaign_type,90,0.1,month_sin,0.0
Pmax,campaign_type,90,0.1,month_cos,0.0
Pmax,campaign_type,90,0.1,dayofmonth_sin,-350.9389
Pmax,campaign_type,90,0.1,dayofmonth_cos,20.8952
Pmax,campaign_type,90,0.1,is_weekend,1.9737
Pmax,campaign_type,90,0.1,target_spend_90d,10806.6599
Pmax,campaign_type,90,0.1,dow_Monday,-1.4913
Pmax,campaign_type,90,0.1,dow_Saturday,-1.3053
Pmax,campaign_type,90,0.1,dow_Sunday,13.6669
Pmax,campaign_type,90,0.1,dow_Thursday,-0.1677
Pmax,campaign_type,90,0.1,dow_Tuesday,0.6307
Pmax,campaign_type,90,0.1,dow_Wednesday,-0.6329
Pmax,campaign_type,90,0.5,spend,218.1356
Pmax,campaign_type,90,0.5,spend_lag_1,-131.4533
Pmax,campaign_type,90,0.5,spend_lag_7,77.798
Pmax,campaign_type,90,0.5,spend_lag_14,-27.5886
Pmax,campaign_type,90,0.5,spend_rolling_mean_7d,79.9472
Pmax,campaign_type,90,0.5,spend_rolling_mean_14d,-127.1978
Pmax,campaign_type,90,0.5,spend_rolling_mean_30d,9.5324
Pmax,campaign_type,90,0.5,revenue_rolling_mean_7d,-55.9141
Pmax,campaign_type,90,0.5,revenue_rolling_mean_14d,-143.5798
Pmax,campaign_type,90,0.5,revenue_rolling_mean_30d,-38.9157
Pmax,campaign_type,90,0.5,spend_share_of_total,-60.6925
Pmax,campaign_type,90,0.5,days_since_start,0.0
Pmax,campaign_type,90,0.5,month_sin,0.0
Pmax,campaign_type,90,0.5,month_cos,0.0
Pmax,campaign_type,90,0.5,dayofmonth_sin,-268.5239
Pmax,campaign_type,90,0.5,dayofmonth_cos,-43.5301
